query,clickhouse_baseline,duckdb_baseline
daily_revenue,0.5321862697601318,0.16954421997070312
avg_distance,0.24809837341308594,0.0684211254119873
top_locations,0.15023469924926758,0.05060720443725586
hourly_trips,0.06487870216369629,0.023993492126464844
avg_tip,0.13399863243103027,0.051138877868652344
